FID,FID_1,city,holc_grade,holc_id,name,geometry_k,uf_unique_,Shape__Are,Shape__Len,Shape__Area,Shape__Length
179,179,Los Angeles,C,C78, ,a3ede832eab1aa3,7213,7.54E-05,0.036429751,1127897.742,4351.563358
180,180,Los Angeles,C,C76, ,f9a8d0c48b04ac72,7221,0.000200773,0.150879494,3003291.629,18027.51813
181,181,Los Angeles,A,A35, ,64bc7a3b21a01e86,7399,0.000401926,0.114064908,6015036.773,13719.57992
182,182,Los Angeles,A,A11, ,33a6110168a4ecae,7351,5.98E-05,0.043090184,895272.3242,5124.966901
183,183,Los Angeles,B,B35, ,7020d9a2a7bc2bfc,7341,0.000138504,0.071989692,2073454.895,8857.165556
184,184,Los Angeles,B,B95, ,73d8e6f25edcc127,6517,3.59E-05,0.025782557,537088.125,3152.814962
185,185,Los Angeles,A,A13, ,cf56afc6134d76fa,7413,0.000130442,0.062734115,1952869.363,7621.687457
186,186,Los Angeles,B,B86, ,c3cd956f37243a9d,7110,4.19E-05,0.03021728,626071.875,3672.304882
187,187,Los Angeles,B,B121, ,85ab9bf878c7abfd,7065,6.14E-05,0.039186799,914714.4883,4610.319304
188,188,Los Angeles,A,A52, ,7c9dd177a97d3508,7227,8.28E-05,0.044181675,1238160.496,5350.63712
189,189,Los Angeles,C,C34, ,e9f43cb41b028bf3,7171,0.000164111,0.070917226,2456368.199,8457.574931
190,190,Los Angeles,B,B120, ,562f22ebd8427ca7,433,0.000156131,0.064424441,2330750.949,7819.585669
191,191,Los Angeles,B,B72, ,df17fa267e56bbd9,7150,0.000145426,0.054577733,2175543.262,6732.265463
192,192,Los Angeles,A,A42, ,824f9175175e2dce,7149,0.000142202,0.076658431,2127300.801,9679.847097
193,193,Los Angeles,C,C139, ,646bff2871611ff7,7118,0.000389232,0.095730257,5816779.309,11444.65463
194,194,Los Angeles,A,A58, ,6f5f476713944e58,7024,5.19E-05,0.032860934,774381.7695,4078.882114
195,195,Los Angeles,B,B82, ,c04bd94e0994826b,7406,4.45E-05,0.054167821,665429.25,6299.96971
196,196,Los Angeles,B,B93, ,6651f06474ce8b9b,7256,2.23E-05,0.018606878,333628.0273,2303.79383
197,197,Los Angeles,B,B28, ,45f91db4b661a7f,7315,0.000127923,0.127676426,1915992.93,16297.62225
198,198,Los Angeles,B,B70, ,b377f676ae6dbde8,7203,7.67E-05,0.047886016,1148257.207,5755.115779
199,199,Los Angeles,C,C144, ,69ed8ef5b32915fa,7124,0.000519196,0.121017095,7755001.988,14243.25768
200,200,Los Angeles,B,B27, ,7954535adbc093b7,7311,0.000121719,0.074321922,1823034.238,9335.660845
201,201,Los Angeles,C,C36, ,1e64a065c6dad924,7190,2.27E-05,0.02621648,339768.6445,3287.564664
202,202,Los Angeles,C,C167, ,903ac9940b401f93,7255,0.000148395,0.067780932,2218375.926,8085.475881
203,203,Los Angeles,C,C157, ,947d4db79fc0aa4f,449,4.50E-05,0.032127975,670294.2383,3820.802499
204,204,Los Angeles,B,B97, ,e81a26ba1ab6b399,7090,0.000224302,0.093362869,3354872.535,10960.70699
205,205,Los Angeles,B,B89, ,75cbdd2faa5593a0,7109,0.000213496,0.079028596,3189656.336,9824.454263
206,206,Los Angeles,C,C80, ,739506d218547199,7212,0.000204341,0.075830638,3057514.918,8755.313717
207,207,Los Angeles,D,D67, ,350e9d9cc3b4bf67,7091,0.000612949,0.217733297,9146470.75,27214.99212
208,208,Los Angeles,C,C113, ,9cf8e6ca9ff3bdb2,7145,4.73E-05,0.047971287,707334.1367,5894.495975
209,209,Los Angeles,C,C149, ,1dc68b580e955c,427,0.000233851,0.125609329,3489486.809,16006.05095
210,210,Los Angeles,B,B76, ,3e1b141c585239e9,7188,0.000364087,0.189573271,5449120.641,23229.40783
211,211,Los Angeles,C,C105, ,bded83571d3f4ca6,7096,0.000290706,0.077156846,4343082.664,9563.478342
212,212,Los Angeles,C,C23, ,b89c89e95bafa64,7181,0.000137725,0.052586026,2061641.93,6522.538662
213,213,Los Angeles,B,B64, ,3d6503dec5f2b247,7204,0.000132409,0.07628522,1981606.875,9503.315782
214,214,Los Angeles,C,C130, ,e43cf0ca9644f2e7,6912,0.000164918,0.067530262,2465232.02,8097.529946
215,215,Los Angeles,C,C128, ,3e09bdc3d08d750e,7338,0.000283993,0.089608419,4248886.652,10669.29367
216,216,Los Angeles,A,A55, ,b270cbe6aaa1d9d5,7383,8.42E-05,0.050559018,1258711.051,6209.845573
217,217,Los Angeles,C,C133, ,2adede06990ddb,7308,7.06E-05,0.053058387,1055582.195,6073.21106
218,218,Los Angeles,C,C30, ,2cd368519c14be3e,7173,0.00015171,0.090887085,2271330.691,11522.83031
219,219,Los Angeles,C,C155, ,7e11bd9657b1bbca,7082,0.000220859,0.06714096,3293391.453,8404.217082
220,220,Los Angeles,C,C74, ,4b30b5db475ec4,7214,0.000206358,0.158792433,3086949.781,19258.47069
221,221,Los Angeles,B,B21, ,d410e5759c6af413,7306,7.16E-05,0.052992809,1071611.23,6529.338267
222,222,Los Angeles,B,B39, ,152809168fd84116,6772,7.71E-05,0.053768897,1154217.586,6409.332616
223,223,Los Angeles,B,B116, ,7f81962a1bdf73d1,448,2.57E-05,0.023835039,383581.6172,2884.558903
224,224,Los Angeles,C,C142, ,86f8cb193fa26adc,7154,0.000811547,0.178942905,12128034.04,21538.4735
225,225,Los Angeles,D,D55, ,783daed8e8888e73,7380,0.00010026,0.061443285,1499518.258,7179.020476
226,226,Los Angeles,C,C94, ,a341ccf27db3d711,890,0.000137671,0.05841059,2059268.246,6922.464982
227,227,Los Angeles,D,D15, ,5bb97b399a50d8fb,7336,9.65E-05,0.078998188,1443583.027,9470.198234
